INFO	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
MIN	140	1	1	1	1
MIN	160	3	3	3	3

Nombre Comp trouve	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
47	150	2	3	3	3
0	150	3	1	1	1
0	150	3	1	1	2
0	150	3	1	1	3
0	150	3	1	2	1
0	150	3	1	2	2
0	150	3	1	2	3
0	150	3	1	3	1
0	150	3	1	3	2
0	150	3	1	3	3
0	150	3	2	1	1
0	150	3	2	1	2
0	150	3	2	1	3
0	150	3	2	2	1
0	150	3	2	2	2
0	150	3	2	2	3
0	150	3	2	3	1
0	150	3	2	3	2
0	150	3	2	3	3
0	150	3	3	1	1
0	150	3	3	1	2
0	150	3	3	1	3
0	150	3	3	2	1
0	150	3	3	2	2
0	150	3	3	2	3
0	150	3	3	3	1
0	150	3	3	3	2
0	150	3	3	3	3
77	151	1	1	1	1
77	151	1	1	1	2
77	151	1	1	1	3
74	151	1	1	2	1
74	151	1	1	2	2
74	151	1	1	2	3
48	151	1	1	3	1
48	151	1	1	3	2
48	151	1	1	3	3
77	151	1	2	1	1
77	151	1	2	1	2
77	151	1	2	1	3
74	151	1	2	2	1
74	151	1	2	2	2
74	151	1	2	2	3
48	151	1	2	3	1
48	151	1	2	3	2
48	151	1	2	3	3
77	151	1	3	1	1
77	151	1	3	1	2
77	151	1	3	1	3
74	151	1	3	2	1
74	151	1	3	2	2
74	151	1	3	2	3
48	151	1	3	3	1
48	151	1	3	3	2
48	151	1	3	3	3
45	151	2	1	1	1
45	151	2	1	1	2
45	151	2	1	1	3
45	151	2	1	2	1
45	151	2	1	2	2
45	151	2	1	2	3
45	151	2	1	3	1
45	151	2	1	3	2
45	151	2	1	3	3
45	151	2	2	1	1
45	151	2	2	1	2
45	151	2	2	1	3
45	151	2	2	2	1
45	151	2	2	2	2
45	151	2	2	2	3
45	151	2	2	3	1
45	151	2	2	3	2
45	151	2	2	3	3
45	151	2	3	1	1
45	151	2	3	1	2
45	151	2	3	1	3
45	151	2	3	2	1
45	151	2	3	2	2
45	151	2	3	2	3
45	151	2	3	3	1
45	151	2	3	3	2
45	151	2	3	3	3
0	151	3	1	1	1
0	151	3	1	1	2
0	151	3	1	1	3
0	151	3	1	2	1
0	151	3	1	2	2
0	151	3	1	2	3
0	151	3	1	3	1
0	151	3	1	3	2
0	151	3	1	3	3
0	151	3	2	1	1
0	151	3	2	1	2
0	151	3	2	1	3
0	151	3	2	2	1
0	151	3	2	2	2
0	151	3	2	2	3
0	151	3	2	3	1
0	151	3	2	3	2
0	151	3	2	3	3
0	151	3	3	1	1
0	151	3	3	1	2
0	151	3	3	1	3
0	151	3	3	2	1
0	151	3	3	2	2
0	151	3	3	2	3
0	151	3	3	3	1
0	151	3	3	3	2
0	151	3	3	3	3
77	152	1	1	1	1
77	152	1	1	1	2
77	152	1	1	1	3
74	152	1	1	2	1
74	152	1	1	2	2
74	152	1	1	2	3
50	152	1	1	3	1
50	152	1	1	3	2
50	152	1	1	3	3
77	152	1	2	1	1
77	152	1	2	1	2
77	152	1	2	1	3
74	152	1	2	2	1
74	152	1	2	2	2
74	152	1	2	2	3
50	152	1	2	3	1
50	152	1	2	3	2
50	152	1	2	3	3
77	152	1	3	1	1
77	152	1	3	1	2
77	152	1	3	1	3
74	152	1	3	2	1
74	152	1	3	2	2
74	152	1	3	2	3
50	152	1	3	3	1
50	152	1	3	3	2
50	152	1	3	3	3
45	152	2	1	1	1
45	152	2	1	1	2
45	152	2	1	1	3
45	152	2	1	2	1
45	152	2	1	2	2
45	152	2	1	2	3
45	152	2	1	3	1
45	152	2	1	3	2
45	152	2	1	3	3
45	152	2	2	1	1
45	152	2	2	1	2
45	152	2	2	1	3
45	152	2	2	2	1
45	152	2	2	2	2
45	152	2	2	2	3
45	152	2	2	3	1
45	152	2	2	3	2
45	152	2	2	3	3
45	152	2	3	1	1
45	152	2	3	1	2
45	152	2	3	1	3
45	152	2	3	2	1
45	152	2	3	2	2
45	152	2	3	2	3
45	152	2	3	3	1
45	152	2	3	3	2
45	152	2	3	3	3
0	152	3	1	1	1
0	152	3	1	1	2
0	152	3	1	1	3
0	152	3	1	2	1
0	152	3	1	2	2
0	152	3	1	2	3
0	152	3	1	3	1
0	152	3	1	3	2
0	152	3	1	3	3
0	152	3	2	1	1
0	152	3	2	1	2
0	152	3	2	1	3
0	152	3	2	2	1
0	152	3	2	2	2
0	152	3	2	2	3
0	152	3	2	3	1
0	152	3	2	3	2
0	152	3	2	3	3
0	152	3	3	1	1
0	152	3	3	1	2
0	152	3	3	1	3
0	152	3	3	2	1
0	152	3	3	2	2
0	152	3	3	2	3
0	152	3	3	3	1
0	152	3	3	3	2
0	152	3	3	3	3
78	153	1	1	1	1
78	153	1	1	1	2
78	153	1	1	1	3
74	153	1	1	2	1
74	153	1	1	2	2
74	153	1	1	2	3
50	153	1	1	3	1
50	153	1	1	3	2
50	153	1	1	3	3
78	153	1	2	1	1
78	153	1	2	1	2
78	153	1	2	1	3
74	153	1	2	2	1
74	153	1	2	2	2
74	153	1	2	2	3
50	153	1	2	3	1
50	153	1	2	3	2
50	153	1	2	3	3
78	153	1	3	1	1
78	153	1	3	1	2
78	153	1	3	1	3
74	153	1	3	2	1
74	153	1	3	2	2
74	153	1	3	2	3
50	153	1	3	3	1
50	153	1	3	3	2
50	153	1	3	3	3
42	153	2	1	1	1
42	153	2	1	1	2
42	153	2	1	1	3
42	153	2	1	2	1
42	153	2	1	2	2
42	153	2	1	2	3
42	153	2	1	3	1
42	153	2	1	3	2
42	153	2	1	3	3
42	153	2	2	1	1
42	153	2	2	1	2
42	153	2	2	1	3
42	153	2	2	2	1
42	153	2	2	2	2
42	153	2	2	2	3
42	153	2	2	3	1
42	153	2	2	3	2
42	153	2	2	3	3
42	153	2	3	1	1
42	153	2	3	1	2
42	153	2	3	1	3
42	153	2	3	2	1
42	153	2	3	2	2
42	153	2	3	2	3
42	153	2	3	3	1
42	153	2	3	3	2
42	153	2	3	3	3
0	153	3	1	1	1
0	153	3	1	1	2
0	153	3	1	1	3
0	153	3	1	2	1
